_genre,type,release_year,total_media,imdb_vote
comedy,MOVIE,1986,1,14277
romance,MOVIE,1986,1,14277
romance,SHOW,2006,2,14180
war,SHOW,2017,5,13589
family,SHOW,2014,9,13527
family,SHOW,1995,1,13361
horror,SHOW,1995,1,13361
music,SHOW,1995,1,13361
sport,MOVIE,2015,3,13192
fantasy,MOVIE,1999,2,12684
scifi,SHOW,2003,3,12198
animation,SHOW,2022,11,12025
war,MOVIE,2002,2,11974
romance,MOVIE,2000,2,11724
documentation,MOVIE,2008,6,11555
history,MOVIE,1993,1,11506
western,MOVIE,1993,1,11506
crime,MOVIE,1980,2,11354
western,MOVIE,1980,1,11329
documentation,MOVIE,1998,4,11238
reality,SHOW,2022,15,11229
music,SHOW,2022,6,10605
reality,SHOW,2007,1,10523
reality,SHOW,2016,8,10363
comedy,MOVIE,1999,3,10173
history,MOVIE,2007,1,10139
family,SHOW,1992,1,9955
reality,SHOW,2015,4,9796
animation,SHOW,1994,1,9708
fantasy,SHOW,1994,1,9708
scifi,SHOW,1994,1,9708
